Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,
"Table 20. Percent of People in Poverty by State: 2022, 2023, and 2024",,,,,,,,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>)",,,,,,,,,,,,
State,Single years,,,,,,Two-year averages,,,,Three-year average 2022-2024,
,2024,,2023,,2022,,Average 2023-2024,,Average 2022-2023,,,
,Percent in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
United States,10.6,0.2,11.1,0.3,11.5,0.3,10.9,0.2,11.3,0.2,11.1,0.2
Alabama,16.3,2.8,14.2,2.3,13.6,2.0,15.3,2.2,13.9,1.9,14.7,1.9
Alaska,9.4,1.8,10.1,1.5,9.6,1.7,9.7,1.0,9.9,1.1,9.7,0.9
Arizona,10.1,1.7,11.9,2.2,12.7,2.3,11.0,1.3,12.3,1.4,11.5,1.1
Arkansas,13.2,2.4,13.8,1.9,16.6,2.3,13.5,1.8,15.2,1.4,14.5,1.3
California,10.4,0.9,11.9,0.8,11.2,0.9,11.1,0.7,11.5,0.6,11.1,0.5
Colorado,7.6,2.0,8.5,1.7,8.1,1.6,8.1,1.3,8.3,1.2,8.1,1.1
Connecticut,9.1,2.3,8.3,1.9,10.2,2.6,8.7,1.6,9.3,1.7,9.2,1.4
Delaware,8.3,2.0,7.8,1.9,9.3,2.2,8.1,1.5,8.6,1.5,8.5,1.2
District of Columbia,11.1,2.1,12.7,2.5,13.4,2.4,11.9,1.7,13.1,1.7,12.4,1.4
Florida,11.5,1.1,11.6,1.2,13.5,1.4,11.5,0.9,12.5,1.0,12.1,0.8
Georgia,12.7,1.9,12.9,2.0,11.7,1.8,12.8,1.4,12.3,1.5,12.4,1.2
Hawaii,8.6,1.9,8.2,2.0,8.8,2.0,8.4,1.5,8.5,1.5,8.6,1.2
Idaho,8.2,1.5,9.1,1.4,8.2,1.4,8.6,1.2,8.6,1.0,8.5,0.9
Illinois,11.7,1.4,9.8,1.5,9.5,1.4,10.7,1.0,9.6,1.0,10.3,0.8
Indiana,8.6,1.9,8.3,1.4,10.4,1.9,8.4,1.2,9.3,1.3,9.1,1.1
Iowa,7.9,1.6,8.0,2.2,9.4,1.9,7.9,1.1,8.7,1.4,8.4,0.9
Kansas,7.4,1.9,8.8,1.9,10.5,2.4,8.1,1.5,9.6,1.7,8.9,1.4
Kentucky,15.6,2.5,13.6,2.5,17.1,3.1,14.6,1.8,15.3,2.0,15.4,1.7
Louisiana,20.0,2.3,21.5,2.2,16.9,2.3,20.8,1.9,19.2,1.6,19.5,1.5
Maine,7.3,2.1,7.4,2.3,9.6,2.1,7.4,1.3,8.5,1.8,8.1,1.2
Maryland,7.2,1.9,8.9,2.2,8.6,2.0,8.0,1.4,8.7,1.6,8.2,1.2
Massachusetts,8.9,1.3,9.1,1.4,9.6,1.4,9.0,1.1,9.4,1.1,9.2,0.9
Michigan,11.4,1.7,12.1,1.6,12.1,1.7,11.7,1.2,12.1,1.2,11.9,1.1
Minnesota,7.0,1.7,7.2,1.5,7.6,1.7,7.1,1.2,7.4,1.3,7.3,0.9
Mississippi,17.9,2.6,16.0,2.0,18.4,2.8,16.9,1.7,17.2,1.9,17.4,1.6
Missouri,9.4,2.4,9.7,2.1,11.4,1.7,9.6,1.8,10.6,1.5,10.2,1.5
Montana,7.7,2.1,8.1,1.7,10.4,1.7,7.9,1.4,9.2,1.4,8.7,1.3
Nebraska,6.8,1.6,9.2,2.4,7.9,2.3,8.0,1.7,8.6,1.7,8.0,1.3
Nevada,12.0,2.2,13.9,2.3,12.0,2.6,12.9,1.7,13.0,1.9,12.6,1.5
New Hampshire,5.9,1.5,6.1,1.5,8.3,1.9,6.0,1.1,7.2,1.3,6.8,1.0
New Jersey,9.7,1.9,9.0,1.6,8.7,1.8,9.3,1.3,8.8,1.3,9.1,1.1
New Mexico,14.2,3.2,17.3,3.7,20.2,4.1,15.8,3.3,18.8,3.6,17.2,3.2
New York,11.0,1.3,11.0,1.1,12.7,1.5,11.0,1.0,11.9,1.0,11.6,0.8
North Carolina,14.2,2.1,13.6,2.0,14.2,1.9,13.9,1.5,13.9,1.7,14.0,1.4
North Dakota,8.4,1.5,9.9,2.0,9.7,2.0,9.1,1.4,9.8,1.4,9.3,1.1
Ohio,10.4,1.4,11.1,1.7,9.9,1.5,10.8,1.2,10.5,1.2,10.5,1.0
Oklahoma,11.5,1.9,12.9,2.4,16.9,2.7,12.2,1.6,14.9,2.2,13.8,1.6
Oregon,8.8,2.1,10.3,2.0,9.9,2.1,9.5,1.1,10.1,1.8,9.7,1.1
Pennsylvania,9.5,1.2,10.3,1.5,10.9,1.6,9.9,1.0,10.6,1.3,10.2,1.0
Rhode Island,10.5,2.3,8.9,2.4,8.4,2.2,9.7,1.7,8.7,1.7,9.3,1.3
South Carolina,11.1,1.7,11.7,1.8,12.9,2.2,11.4,1.3,12.3,1.6,11.9,1.3
South Dakota,9.1,2.2,7.5,1.6,9.1,2.1,8.3,1.4,8.3,1.5,8.6,1.1
Tennessee,9.2,1.7,10.7,2.0,10.5,2.4,9.9,1.6,10.6,1.7,10.1,1.5
Texas,11.1,1.0,12.3,1.1,13.5,1.0,11.7,0.8,12.9,0.7,12.3,0.6
Utah,7.5,1.6,6.3,1.2,6.0,1.4,6.9,1.2,6.1,1.0,6.6,1.0
Vermont,7.2,1.7,6.7,1.5,9.0,1.8,6.9,1.2,7.9,1.2,7.6,1.0
Virginia,8.1,1.9,9.4,1.9,8.3,1.6,8.8,1.4,8.9,1.3,8.6,1.0
Washington,9.8,1.7,8.7,1.6,9.0,1.7,9.3,1.5,8.9,1.1,9.2,1.1
West Virginia,13.1,1.9,13.3,2.5,15.5,1.8,13.2,1.7,14.4,1.2,14.0,1.1
Wisconsin,8.9,2.6,9.3,1.9,6.6,1.4,9.1,1.9,8.0,1.2,8.3,1.4
Wyoming,7.7,1.6,9.4,1.8,7.1,1.3,8.5,1.4,8.2,1.2,8.1,1.1
* Statistically different from zero at the 90 percent confidence level.,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1960 to 2025 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/poverty/guidance/poverty-footnotes/cps-historic-footnotes.html>.,,,,,,,,,,,,